Course,Section,Time,Location,Enrollment,Classification,Day
ACCT 2010,L01,TuTh 03:00PM - 04:20PM,"Rm 4621, Lift 31-32 (126)",70,Lift 31-32,TuTh
ACCT 2010,L02,TuTh 04:30PM - 05:50PM,"Rm 4621, Lift 31-32 (126)",66,Lift 31-32,TuTh
ACCT 2010,L03,TuTh 09:00AM - 10:20AM,"Rm 4621, Lift 31-32 (126)",67,Lift 31-32,TuTh
ACCT 2010,L04,MoWe 10:30AM - 11:50AM,"Rm 1010, LSK Bldg (80)",70,LSK Bldg,MoWe
ACCT 2010,L05,Mo 03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)",70,LSK Bldg,Mo
ACCT 2010,L05,Fr 10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)",70,LSK Bldg,Fr
ACCT 2010,L06,Mo 04:30PM - 05:50PM,"Rm 1007, LSK Bldg (80)",69,LSK Bldg,Mo
ACCT 2010,L06,Fr 12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)",69,LSK Bldg,Fr
ACCT 2010,L07,TuTh 01:30PM - 02:50PM,"Rm 2406, Lift 17-18 (76)",70,Lift 17-18,TuTh
ACCT 2010,L08,TuTh 10:30AM - 11:50AM,"Rm 2304, Lift 17-18 (76)",69,Lift 17-18,TuTh
ACCT 2010,L09,TuTh 09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)",69,Lift 17-18,TuTh
ACCT 2010,L10,MoWe 09:00AM - 10:20AM,"Rm 1009, LSK Bldg (80)",38,LSK Bldg,MoWe
ACCT 2010,L11,MoWe 10:30AM - 11:50AM,"Rm 1009, LSK Bldg (80)",68,LSK Bldg,MoWe
ACCT 2010,L12,MoWe 12:00PM - 01:20PM,"Rm 1009, LSK Bldg (80)",60,LSK Bldg,MoWe
ACCT 2010,L13,TuTh 03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)",66,Lift 17-18,TuTh
ACCT 2010,L14,TuTh 04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)",39,Lift 17-18,TuTh
ACCT 2010,L15,TuTh 12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)",56,Lift 31-32,TuTh
ACCT 2010,L16,TuTh 01:30PM - 02:50PM,"Rm 2304, Lift 17-18 (76)",69,Lift 17-18,TuTh
ACCT 2010,L17,TuTh 10:30AM - 11:50AM,"Rm 2406, Lift 17-18 (76)",69,Lift 17-18,TuTh
ACCT 3010,L1,Mo 01:30PM - 02:50PM,"Rm 1010, LSK Bldg (80)",68,LSK Bldg,Mo
ACCT 3010,L1,Fr 09:00AM - 10:20AM,"Rm 1010, LSK Bldg (80)",68,LSK Bldg,Fr
ACCT 3010,L2,Mo 03:00PM - 04:20PM,"Rm 1010, LSK Bldg (80)",80,LSK Bldg,Mo
ACCT 3010,L2,Fr 10:30AM - 11:50AM,"Rm 1010, LSK Bldg (80)",80,LSK Bldg,Fr
ACCT 3010,L3,Mo 04:30PM - 05:50PM,"Rm 1010, LSK Bldg (80)",75,LSK Bldg,Mo
ACCT 3010,L3,Fr 12:00PM - 01:20PM,"Rm 1010, LSK Bldg (80)",75,LSK Bldg,Fr
ACCT 3030,L1,MoWe 10:30AM - 11:50AM,"Rm 1011, LSK Bldg (80)",60,LSK Bldg,MoWe
ACCT 3030,L2,Mo 03:00PM - 04:20PM,"Rm 5583, Lift 29-30 (80)",52,Lift 29-30,Mo
ACCT 3030,L2,Fr 10:30AM - 11:50AM,"Rm 5583, Lift 29-30 (80)",52,Lift 29-30,Fr
ACCT 3030,L3,Mo 04:30PM - 05:50PM,"Rm 5583, Lift 29-30 (80)",45,Lift 29-30,Mo
ACCT 3030,L3,Fr 12:00PM - 01:20PM,"Rm 5583, Lift 29-30 (80)",45,Lift 29-30,Fr
ACCT 3610,L1,MoWe 09:00AM - 10:20AM,"Rm 6591, Lift 31-32 (88)",75,Lift 31-32,MoWe
ACCT 3610,L2,MoWe 10:30AM - 11:50AM,"Rm 6591, Lift 31-32 (88)",77,Lift 31-32,MoWe
ACCT 3880,L1,"13-SEP-2023 - 18-OCT-2023
We 04:00PM - 05:50PM",Lecture Theater A (401),202,Lecture Theater A,We
ACCT 4010,L1,Mo 03:00PM - 04:20PM,"Rm 4621, Lift 31-32 (126)",75,Lift 31-32,Mo
ACCT 4010,L1,Fr 10:30AM - 11:50AM,"Rm 4621, Lift 31-32 (126)",75,Lift 31-32,Fr
ACCT 4010,L2,TuTh 03:00PM - 04:20PM,"Rm 2503, Lift 25-26 (87)",72,Lift 25-26,TuTh
